SEQ_NO,ISBN_THIRTEEN_NO,TITLE_NM,AUTHR_NM,PUBLISHER_NM,PBLICTE_DE,IMAGE_URL,BOOK_INTRCN_CN,KDC_NM
244273,9788955710267,형사소송법,진용은 編著,현대고시사,2003[실은 20,http://image.aladin.co.kr/product/38/26/cover/8955710267_1.jpg,법원서기보 검찰직 경찰 승진시헙대비 형사소송법 년 개정판으로 새로운 출제경향에 대비하였고 최근 년간 실제문제와 최신 판례 요지를 분석하여 수록했다,367.4077
244281,9788955710021,(한민석 교육학)면접특강,한민석 편저,현대고시사,2003[실은 20,http://image.aladin.co.kr/product/86/32/cover/895571002x_1.jpg,임용고시교대편입 면접시험 대비서 최근 면접 실제 문제 분석과 최신 면접자료 평가기준자료 수업실기 능력평가 대비자료 등이 수록되어 있다,376.637
244294,9788988796177,(취업대비서)종합직무적성검사:New SPI 직무적성검사 포함,양병화 편저,현대고시사,2003[실은 20,http://image.aladin.co.kr/product/37/66/cover/8988796179_1.jpg,자세한 해설과 함께 그동안 실제 출제되었던 시험문제들을 비교분석하고 예상문제들을 구성하여 적성인성검사를 한권으로 해결할 수 있도록 편집했다,325.337
244311,9788955710274,(공무원)국어:제7차 교육과정 완전분석 개정판,정재영 편저,현대고시사,2003[실은 20,http://image.aladin.co.kr/product/45/8/cover/8955710275_1.gif,공무원 국어강의의 정통파 정재영 교수 편저제차 교육과정 완전분석 개정판 국어 종합본 본서는 노량진 한교고시학원 기본강의교재이며 지캐스트 동영상 강의교재로 사용되고 있습니다,710.77
244405,9788909079730,(고득점)완전과학,표준초등과학연구회 [편],교학사,2003[실은 20,http://image.aladin.co.kr/product/39/9/cover/8909079738_1.gif, 학습 요점꼭 알야 할 교과서 학습 내용을 간추려 정리해 놓았습는다 이런 뜻 이런 원리학습 내용을 이해하는 데 도움이 되는 낱말 뜻이나 원리를 정리하였습니다 도움말기본 개념이나 원리를 이해하는 데 도움이 될만한 내용을 간단하게 문제의 바로 옆에 정리하였습니다 심화 학습창의력과 ,400.0
244412,9788909079099,(고등학교)기술·가정,임종원;최동순 [공]지음,교학사,2003[실은 20,https://bookthumb-phinf.pstatic.net/cover/021/128/02112839.jpg?type=m1&udate=20071117,내신성적 대비 고등학교 기술 가정 학습서 단원별 체크문제 및 교과서 핵심 내용의 요점 정리 기본문제와 발전문제를 통한 단계식 학습 정기고사 대비 문제와 단원종합문제로 내신 대비 및 단원별 확인 학습이 가능하다,500.0
244418,9788909080101,(하이코스)국어 생활국어,최진흥...[등]지음,교학사,2003[실은 20,https://bookthumb-phinf.pstatic.net/cover/018/943/01894393.jpg?type=m1&udate=20060303,국어단원의 길잡이교과서의 수록된 길잡이 내용을 전문 수록하여 단원에서 배울 내용을 파악하도록 하였다핵심정리대단원 핵심 내용을 간단 명료하게 정리해 놓았다소단원 게시판소단원 이해에 꼭 필요한 사항을 정리해 놓았다소단원 개념 정리소단원에서 반드시 알아야 할 핵심 사항을 정리해 ,710.0
244420,9788909080132,(하이코스)영어,박미순;조영봉 [공]지음,교학사,2003[실은 20,https://bookthumb-phinf.pstatic.net/cover/018/944/01894409.jpg?type=m1&udate=20060303, 새 낱말 새 어구 기초 구문 의사 소통 읽기 마무리 평가    ,740.0
244421,9788909080200,(하이코스)수학,교학사 편집부,교학사,2003[실은 20,https://bookthumb-phinf.pstatic.net/cover/021/128/02112828.jpg?type=m1&udate=20060309, 기본학습학기 학습 총정리 교과서 내용 명쾌한 분석 정리 발전 학습단원별 적중도 높은 참신한 문제탐구활동에서 수행평가까지 마무리 학습단원 종합 문제학습 내용 수련 문제에서 수행평가까지 실전 대비 훈련 학습실전 대비용 중간기말고사 예상 문제 스피드 체크학업 성취도 스스로 ,410.0
244425,9788909080248,(하이코스)사회 국사,교학사 편집부,교학사,2003[실은 20,https://bookthumb-phinf.pstatic.net/cover/018/943/01894394.jpg?type=m1&udate=20060303, 기본학습체계적인 교과서 내용 정리발전학습보충 설명과 풍부한 자료 탐구 활동과 심화 과정 분석정리적용 학습내신 만점에 대비한 단계별유형별 분석 교과서 핵심 정리전국 기출 문제중간기말 고사 대비 문제고난도 문제정답 및 해설 ,300.0
